year,pieces,descr,set
2005,31.0,Fire Chief's Car<br>-Big Bling Wheelie,Sets:<br>-
2008,730.0,Stegosaurus,"Set: "
2015,2261.0,Detective&#039;s Office,"Set: "
1966,6.0,"Six Trees and Bushes (The Building Toy)<br>-6 Street Lamps with Curved Top (The Building Toy)<br>-6 x 8 Plates, White<br>-10 x 20 Brickplate",Sets:<br>-
2011,150.0,Rescue Robot,"Set: "
1983,103.0,Motorcycle,"Set: "
2007,9.0,Superstar Figure <br>-Mr. Magoriums big book (Mr. Magorium's Wonder Emporium)<br>-Advent Calendar 2007 Belville (Day  9) Sleigh<br>-Advent Calendar 2007 Belville (Day 10) Snowman<br>-Advent Calendar 2007 Belville (Day 13) Fruit Cup and Bottles<br>-Advent Calendar 2007 Belville (Day 24) Christmas Tree and Presents<br>-Advent Calendar 2007 Belville (Day  6) Tea Set<br>-Advent Calendar 2007 City (Day 11) Small Dock with Life Preserver<br>-Advent Calendar 2007 City (Day 18) Signal Mast<br>-Advent Calendar 2007 City (Day  8) Luggage Cart,Sets:<br>-
2011,809.0,Anakin's and Sebulba's Podracers,"Set: "
1966,16.0,"4.5V Motor with Wheels (Small Version)<br>-1 x 6 x 2 Window, Red or White<br>-1 x 6 x 2 Shuttered Windows, Red or White<br>-2 x 8 Plates, White",Sets:<br>-
1995,21.0,Go-Cart<br>-Paradisa Speedboat<br>-Go-Cart<br>-Freestyle Fish<br>-Aquazone Accessories,Sets:<br>-
2007,106.0,Rough Terrain Crane,"Set: "
2013,283.0,High Speed Chase,"Set: "
1954,54.0,Gift Package (Lego Mursten),"Set: "
2007,1137.0,Motorized Walking AT-AT,"Set: "
2011,37.0,Moon Buggy,"Set: "
2002,23.0,Dash Jet Sub<br>-Jet Sub<br>-Beautiful Baby Princess,Sets:<br>-
2000,17.0,Car,"Set: "
1990,448.0,Build-N-Store Chest,"Set: "
2009,45.0,"Cannon Battle<br>-Battle Pack Dwarfs<br>-LEGO Store Grand Opening Exclusive Set, Westfield Annapolis, Annapolis, MD",Sets:<br>-
2013,210.0,Samurai Bike<br>-Mandalorian Speeder,Sets:<br>-
2008,5.0,Advent Calendar 2008 City (Day 10) Chef and Paddle<br>-Advent Calendar 2008 City (Day 18) Criminal with Handcuffs<br>-Advent Calendar 2008 City (Day  1) Minifigure and Drumstick<br>-Advent Calendar 2008 City (Day  4) Female with Ice Cream<br>-Advent Calendar 2008 City (Day  7) Fireman and Radio<br>-Advent Calendar 2008 Castle (Day 14) - Evil Witch<br>-Advent Calendar 2008 Castle (Day 17) - Crystal Ball<br>-Advent Calendar 2008 Castle  (Day 1) - Soldier with Spear<br>-Advent Calendar 2008 Castle (Day 21) - Troll Warrior<br>-Advent Calendar 2008 Castle  (Day 7) - Castle Soldier with Sword<br>-Ultimate City Police Collection<br>-Battle Machine Collection,Sets:<br>-
2011,121.0,Road Construction Building Set,"Set: "
2000,346.0,B-wing at Rebel Control Center,"Set: "
1962,755.0,"Town Plan - UK, Cardboard box","Set: "
1980,432.0,Push-Along Passenger Steam Train,"Set: "
2014,614.0,Bulldozer<br>-Mos Eisley Cantina,Sets:<br>-
1966,38.0,"1 x 1 x 2 Window, Red or White<br>-1 x 2 x 1 Window, Red or White",Sets:<br>-
1990,46.0,Black Monarch's Ghost,"Set: "
2009,164.0,Camper,"Set: "
2002,68.0,Ogel Mutant Ray<br>-Queen Rose and the Little Prince Charming,Sets:<br>-
1966,28.0,"1 x 1, 1 x 2, 1 x 4, 1 x 6, 1 x 8 Bricks","Set: "
1998,78.0,Crab,"Set: "
1994,185.0,Off-Road Rambler,"Set: "
2013,134.0,Deluxe Train Set,"Set: "
1999,770.0,Classic Build & Store Tub,"Set: "
2001,49.0,Pohatu,"Set: "
1994,47.0,Ice Planet Satellite Plough<br>-Saucer Scout,Sets:<br>-
1997,82.0,Time Tunnelator,"Set: "
2013,36.0,Fire Car<br>-Razcal's Double-Crosser<br>-Kraang&#39;s Turtle Target Practice<br>-Ninjago Battle Pack,Sets:<br>-
2012,198.0,Ambulance<br>-Quad Bike<br>-Red’s Water Rescue,Sets:<br>-
1998,601.0,25th Anniversary Silver Bucket,"Set: "
1982,25.0,Service Truck,"Set: "
2015,33.0,Pop Star,"Set: "
2014,196.0,Prisoner Transporter,"Set: "
2016,821.0,Volcano Exploration Base,"Set: "
2014,59.0,Batcave Adventure<br>-MINI Cooper Mini Model<br>-TUNNELER Beast vs. SURGE<br>-CHI Panthar,Sets:<br>-
2000,58.0,Temple of Gloom,"Set: "
1998,15.0,Biker Bob,"Set: "
2002,9.0,Coca-Cola Stand<br>-Advent Calendar 2002 Creator (Day 16) Police Boat<br>-Advent Calendar 2002 Creator (Day 17) Whale<br>-Advent Calendar 2002 Creator (Day 19) Parrot,Sets:<br>-
2001,110.0,Sky Pirates<br>-Battle Cars,Sets:<br>-
2009,41.0,Squidman Escape<br>-Red Racer Polybag,Sets:<br>-
1979,42.0,Auto Service Truck,"Set: "
1992,192.0,Turtle Bucket with Motor<br>-Checkered Flag 500,Sets:<br>-
2013,853.0,EV3 Expansion Set,"Set: "
2000,8.0,Advent Calendar 2000 (Day 23) Helicopter<br>-Helicopter<br>-One Minifig Pack - Rock Raiders #1<br>-Fiber Optic Cables,Sets:<br>-
2006,204.0,Fun with Bricks (4293364) - with Minifigs,"Set: "
2002,600.0,Build and Create,"Set: "
2007,23.0,Fire Boat<br>-Squid Launcher Function,Sets:<br>-
2004,163.0,Speed Wings - ANA version,"Set: "
1991,65.0,Street Sweeper<br>-Screaming Patriot,Sets:<br>-
2003,1154.0,Technology Resource Set,"Set: "
1978,82.0,Martinair Cessna,"Set: "
1966,101.0,Shell Service Station,"Set: "
2008,1279.0,Transport Ferry,"Set: "
1969,163.0,Complete Freight Train Set with Tipper Trucks,"Set: "
1955,52.0,2 x 4 Bricks,"Set: "
2011,94.0,The Captain’s Cabin,"Set: "
2007,68.0,Mini Construction,"Set: "
1994,36.0,Car<br>-Dragon Master Chariot<br>-Trail Ranger<br>-Axles - Short,Sets:<br>-
2016,52.0,Party Gift Shop<br>-Lloyd Fun Pack<br>-Bane™ Fun Pack,Sets:<br>-
2013,47.0,My First Construction Site,"Set: "
2009,7.0,Darth Vader 10 Year Anniversary Promotional Minifigure<br>-Golden Die [TRU Exclusive]<br>-Advent Calendar 2009 Pirates (Day  9) - Plants and Crab<br>-Advent Calendar 2009 Pirates (Day 11) - Castaway<br>-Advent Calendar 2009 Pirates (Day 22) - Skeleton and Snake<br>-Advent Calendar 2009 Pirates (Day  3) - Parrot on Perch<br>-Advent Calendar 2009 City (Day  9) Traffic Light<br>-Advent Calendar 2009 City (Day  1) Minifigure and Snowballs<br>-Advent Calendar 2009 City (Day  4) Minifigure on Skates<br>-Train Motor (RC)<br>-LEGO Familiedage Puzzle Promo 2009<br>-Big Pirates Collection<br>-LEGO World Denmark Puzzle Promo<br>-LEGO World Zwolle Puzzle Promo 2009,Sets:<br>-
1974,78.0,Family,"Set: "
2015,252.0,Helicopter Pursuit,"Set: "
2003,178.0,Emperor's Ship,"Set: "
1956,4.0,6 x 8 & 2 x 8 Plates,"Set: "
1997,404.0,Pirates Perilous Pitfall,"Set: "
1978,118.0,Universal Figure Set,"Set: "
1991,165.0,Blue Hopper Car,"Set: "
2005,69.0,Big Farm,"Set: "
2010,1600.0,LEGO XXL Box,"Set: "
1961,760.0,Town Plan - Continental European,"Set: "
1966,118.0,Starter Train Set without Motor,"Set: "
2005,159.0,TIE Fighter,"Set: "
2001,228.0,Hopper Wagon,"Set: "
2014,137.0,Black Champion Racer,"Set: "
1981,4.0,Tires (42 mm) and Hubs<br>-Train Couplings<br>-Boris Bulldog and Mailbox<br>-Percy Pig's Wheelbarrow,Sets:<br>-
1987,89.0,Twin Starfire,"Set: "
1997,16.0,Santa Claus<br>-Bat Lord<br>-Tribal Chief,Sets:<br>-
2014,140.0,Snowman,"Set: "
2015,299.0,4x4 with Powerboat<br>-The Mystery Machine,Sets:<br>-
2004,485.0,Doc Ock&#039;s Hideout,"Set: "
2012,4.0,"Advent Calendar 2012, Friends (Day 1) - Olivia, Long Sleeve Chrismas Top<br>-Advent Calendar 2012, Friends (Day 4) - Skis and Ski Poles<br>-Advent Calendar 2012, Friends (Day 6) - Christina, Red Christmas Outfit<br>-Friends - Bracelets<br>-Hulk<br>-Chase McCain<br>-Hulk<br>-City Super Pack 4 in 1 (4436, 4437, 4439, 4441)<br>-City Super Pack 4 in 1 (4436, 7235, 7279, 7498)<br>-Friends Super Pack 4 in 1 (3061, 3183, 3934, 3936)<br>-City Super Pack 4 in 1 (4431, 4432, 4433, 4435)<br>-Advent Calendar 2012, Star Wars (Day 9) - Imperial Officer<br>-Advent Calendar 2012, Star Wars (Day 15) - Snowtrooper<br>-Advent Calendar 2012, Star Wars (Day 21) - Super Battle Droid",Sets:<br>-
2013,631.0,Dolphin Cruiser,"Set: "
2008,361.0,Coast Guard Truck with Speed Boat,"Set: "
1987,23.0,Car<br>-Plane Accessories,Sets:<br>-
2010,185.0,Meteor Strike<br>-Magma Mech,Sets:<br>-
1982,80.0,Freighter,"Set: "
2015,369.0,Anakin's Custom Jedi Starfighter,"Set: "
2011,3151.0,Super Star Destroyer,"Set: "
2015,254.0,Heartlake Hot Air Balloon,"Set: "
1984,58.0,Auto & Tire Repair,"Set: "
1985,27.0,Crest Basic Building Set<br>-Basic Building Set<br>-Flower Car<br>-Orchestra<br>-Black Knight's Treasure<br>-Shovel Truck,Sets:<br>-
2015,22.0,Dressing Table<br>-LEGO Friends Jewelery Set,Sets:<br>-
2015,85.0,Demolition Starter Set<br>-Lewa - Master of Jungle<br>-LEGO® DIMENSIONS™ Portal® 2 Level Pack<br>-Jango Fett™,Sets:<br>-
2001,133.0,Battle Droid Carrier,"Set: "
2009,480.0,LEGO Creative Bucket (TRU Exclusive)<br>-Creative Bucket,Sets:<br>-
1995,83.0,Nitro Bike GTX / GTX 500,"Set: "
2015,39.0,Forest: Animals<br>-Doc McStuffins Backyard Clinic<br>-Ice Bear Mech<br>-Space Utility Vehicle<br>-Monthly Mini Model Build February 2015 - Space Shuttle<br>-Monthly Mini Model Build April 2015 – UFO<br>-LEGO® DIMENSIONS™ Gollum Fun Pack<br>-Klutz: LEGO Chain Reactions,Sets:<br>-
1987,68.0,Gears Small<br>-Assorted Spare Axles<br>-Basic Building Set,Sets:<br>-
1972,50.0,Truck with Trailer<br>-Truck with Trailer (without Stickers),Sets:<br>-
2002,282.0,Escape from Privet Drive,"Set: "
2008,100.0,Doors and Windows<br>-Obelisk (LLCA Ambassador Pass Exclusive),Sets:<br>-
2001,166.0,All That Drives Bucket,"Set: "
2004,450.0,Shrieking Shack,"Set: "
2007,183.0,Tow Trasher,"Set: "
1997,28.0,Boat<br>-House<br>-Frontier Patrol,Sets:<br>-
2014,1074.0,Mini Cooper,"Set: "
2012,1000.0,Build and Play Box,"Set: "
1998,265.0,Heli-Transport (Rota-Beast),"Set: "
1979,512.0,Mobile Crane,"Set: "
2010,244.0,Shadow Snapper,"Set: "
2011,247.0,Ninjago,"Set: "
2014,91.0,FLYER Beast vs. BREEZ<br>-Bat Strike<br>-CHI Fluminox,Sets:<br>-
1987,106.0,General Store,"Set: "
1992,229.0,Chain Link Pack,"Set: "
2010,149.0,Rotor Rescue,"Set: "
2014,485.0,The Joker Steam Roller,"Set: "
1990,116.0,Vacation Hideaway,"Set: "
1987,9.0,"Fire Chief Barty Bulldog<br>-Cross Axles (Sizes 8, 10, 12)<br>-Gear Wheels",Sets:<br>-
1996,339.0,Fast Track Finish,"Set: "
2014,947.0,Container Truck,"Set: "
1978,38.0,Excavator,"Set: "
2011,213.0,Sith Nightspeeder,"Set: "
2003,359.0,The Final Showdown,"Set: "
2010,36.0,Attack Wagon<br>-Battle Pack Lion Knights,Sets:<br>-
2015,75.0,Flower Cart<br>-Ice Bear Tribe Pack,Sets:<br>-
1996,268.0,Android Base,"Set: "
1999,65.0,Space Port Jet,"Set: "
1978,301.0,Coast Guard Station,"Set: "
2000,32.0,Power Bike<br>-Dirt Bike<br>-Power,Sets:<br>-
1995,191.0,Sea Claw 7 / Neptune III,"Set: "
2005,1339.0,Amusement Park,"Set: "
2011,124.0,Flying Mummy Attack,"Set: "
2004,137.0,Passenger Plane - Austrian Air Version<br>-Passenger Plane - EL AL Version<br>-Passenger Plane - JAL Version<br>-Passenger Plane - Lauda Air Version<br>-Passenger Plane - Snowflake Version,Sets:<br>-
2010,354.0,Gateway of the Squid,"Set: "
1977,324.0,Tractor,"Set: "
1994,665.0,Large Bucket,"Set: "
2000,11.0,Advent Calendar 2000 (Day 17) Bull<br>-Advent Calendar 2000 (Day 24) Santa<br>-Advent Calendar 2000 (Day  2) Snowman,Sets:<br>-
1993,273.0,Sky Ranger,"Set: "
1996,152.0,House with Roof-Windows ( Velux ),"Set: "
2016,61.0,Tiketz<br>-Ultimate General Magmar<br>-Rey,Sets:<br>-
2016,347.0,The Starlight Inn<br>-The King's Mech,Sets:<br>-
2002,183.0,Aragog in the Dark Forest,"Set: "
1966,132.0,Starter Train Set with Motor,"Set: "
1984,8.0,Drummer Gabriel Monkey<br>-Angle Brick / Landing Frame,Sets:<br>-
2001,14.0,Tree 3,"Set: "
1979,27.0,Bernard Bear and Pickup Truck,"Set: "
2006,982.0,Maersk Line Container Ship 2006 Edition,"Set: "
1978,6.0,Gear Racks and Turntables,"Set: "
1973,412.0,Basic Set,"Set: "
2007,597.0,Nitro Muscle,"Set: "
1994,439.0,Enchanted Island,"Set: "
2012,295.0,Spider-Man&#039;s Doc Ock Ambush,"Set: "
1994,26.0,Basic Building Set Trial Size,"Set: "
2006,42.0,Sir Kentis<br>-Hakann<br>-Thok,Sets:<br>-
2011,107.0,Frog Rush<br>-Commuter Jet,Sets:<br>-
2006,13.0,Advent Calendar 2006 City (Day 14) Street Cleaner's Pushcart<br>-Advent Calendar 2006 City (Day 21) Work Bench with Vise<br>-Commemorative Limited Edition Batman Announcement<br>-LEGO Japan Dog Blue Label Version,Sets:<br>-
2013,93.0,Boulder Bowling,"Set: "
2015,789.0,Large Creative Brick Box,"Set: "
1973,86.0,Lorry and Fork Lift Truck,"Set: "
2011,160.0,Isla De Muerta,"Set: "
1986,163.0,Mobile Crane,"Set: "
2014,406.0,Spinlyn's Cavern,"Set: "
2016,147.0,Around the World,"Set: "
1998,72.0,Hornet Scout<br>-Plates Red<br>-Plates Blue<br>-Plates Yellow<br>-Plates Black,Sets:<br>-
1969,96.0,Loco and Tender<br>-Bricks'n Motor Set,Sets:<br>-
1974,63.0,Table and Chairs,"Set: "
2015,170.0,LaFerrari<br>-McLaren P1,Sets:<br>-
2004,1184.0,Creator Community Builders,"Set: "
1973,31.0,Small Pre-School Basic Set<br>-Dressing Table with Mirror,Sets:<br>-
1976,300.0,Police Headquarters<br>-Police Headquarters,Sets:<br>-
2013,43.0,Rocka<br>-Aquagon<br>-City Fire Accessory Set<br>-Classic Pirate Set,Sets:<br>-
2015,435.0,Haunted Lighthouse,"Set: "
1986,59.0,"Red Roof Bricks, Steep Pitch","Set: "
1994,44.0,Basic Set<br>-Town Accessories,Sets:<br>-
1992,413.0,Shuttle Launching Crew,"Set: "
1988,575.0,Message Intercept Base,"Set: "
2005,187.0,Dump Truck,"Set: "
2009,52.0,Vastus<br>-Gelu<br>-Mata Nui,Sets:<br>-
2013,12.0,"Big Front Loader<br>-Advent Calendar 2013, Friends (Day 24) - Present with Letter<br>-60024 Advent Calendar 2013, City (Day 15)<br>-Advent Calendar 2013, Star Wars (Day  9) - Republic Assault Ship",Sets:<br>-
1993,456.0,Universal Building Set,"Set: "
2016,7.0,Farmer<br>-Frightening Knight<br>-Clumsy Guy<br>-Animal Control Officer,Sets:<br>-
1955,7.0,Windows and Door without Glass,"Set: "
1983,90.0,Overhead Gantry and Lighting Maintenance Wagon,"Set: "
1998,143.0,Aircraft and Ground Crew<br>-Stadium Security<br>-Blackmobile with motor,Sets:<br>-
2004,64.0,Red Beast RC,"Set: "
2003,273.0,Hovercraft Hideout,"Set: "
2012,5.0,"Rattla<br>-Advent Calendar 2012, City (Day  9) Mechanic with Wrench<br>-Advent Calendar 2012, City (Day 12) Female Firefighter<br>-Advent Calendar 2012, City (Day 14) Box with Burning Logs<br>-Advent Calendar 2012, City (Day 16) Girl with Snowball<br>-Advent Calendar 2012, City (Day  1) Fireman with Loudhailer<br>-Advent Calendar 2012, City (Day 19) Firefighter with Cup<br>-Advent Calendar 2012, City (Day  6) Boy with Snowball<br>-Stephanie<br>-Mining Collection<br>-Vampire Bat - Complete Set<br>-Advent Calendar 2012, Star Wars (Day 18) - Rebel Scout Trooper<br>-Advent Calendar 2012, Star Wars (Day 6) - Battle Droid Security<br>-Super Heroes Unite - Phoenix Jean Gray - San Diego Comic-Con 2012 Exclusive",Sets:<br>-
2010,157.0,Lego Brickmaster Atlantis (Hardcover),"Set: "
2008,521.0,DNA Student Set,"Set: "
2015,8.0,Samurai<br>-Disco Diva<br>-Galaxy Trooper<br>-Sheriff<br>-Wacky Witch<br>-Gorzan Polybag<br>-Iceklaw<br>-Stealthor foil pack<br>-Jay foil pack,Sets:<br>-
2006,1069.0,Imperial AT-ST - UCS,"Set: "
1981,5.0,Motor-Mount Plate with Magnetic Couplers<br>-Differential<br>-Perry Panda & Chester Chimp,Sets:<br>-
2000,224.0,Super Sports Coverage<br>-Fire Station,Sets:<br>-
2002,236.0,Shadowstrike S70,"Set: "
2005,35.0,Street Maniac,"Set: "
2016,56.0,First Order Star Destroyer<br>-Tapsy<br>-Ultimate Beast Master<br>-Lewa Uniter of Jungle,Sets:<br>-
2000,539.0,King Leo's Castle,"Set: "
2015,246.0,T-16 Skyhopper<br>-Dilophosaurus Ambush,Sets:<br>-
2006,800.0,Crawler Crane,"Set: "
2015,58.0,A-Wing Starfighter<br>-Kamzo<br>-Jungle Trap,Sets:<br>-
1962,82.0,1 x 1 and 1 x 2 Plates - Blue (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - Light Gray (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - Red (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - Trans-Clear (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - White (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - Yellow (architectural hobby und modelbau version)<br>-1 x 1 and 1 x 2 Plates - Black (architectural hobby und modelbau version),Sets:<br>-
2011,104.0,Scorpio<br>-Alien Defender<br>-Seabed Strider,Sets:<br>-
1982,150.0,Fire Boat,"Set: "
1998,135.0,Surfers' Paradise,"Set: "
2000,33.0,Kabaya Promotional Set: White (Ice Explorer) RoboRider<br>-Star Wars #4 - Battle Droid Minifig Pack<br>-The Good Fairy's Bedroom,Sets:<br>-
1997,466.0,Large Bulk Bucket,"Set: "
2003,67.0,Outrigger Construction Crane,"Set: "
2013,26.0,Lego Tree Holiday Bauble,"Set: "
2013,439.0,CLS-89 Eradicator Mech,"Set: "
2016,45.0,Mini Dumper<br>-Robin&#39;s Mini Fortrex,Sets:<br>-
1965,63.0,Small Cottage,"Set: "
1998,63.0,The Wasp,"Set: "
1983,228.0,Passenger Carriage / Sleeper,"Set: "
1994,93.0,F1 Racer,"Set: "
1978,46.0,Mother with Baby Carriage,"Set: "
1990,673.0,Large Bucket,"Set: "
1973,51.0,Kitchen Sink and Cupboards,"Set: "
1992,24.0,Treasure Cart<br>-Treasure Chest<br>-Black Knight,Sets:<br>-
2014,64.0,Glomp<br>-Mesmo<br>-CHI Mungus,Sets:<br>-
2001,55.0,Honda Promotional Set,"Set: "
2010,190.0,Jagged Jaws Reef,"Set: "
2015,17.0,My First Bus<br>-Happy The Cute Dolphin,Sets:<br>-
1998,102.0,Helicopter Transport,"Set: "
2011,498.0,Rocket Launch Center,"Set: "
2006,437.0,X-wing Fighter<br>-Mistlands Tower,Sets:<br>-
1997,138.0,V-TOL,"Set: "
2006,507.0,Ultimate Accessory Set 500<br>-Race for the Mask of Life,Sets:<br>-
2013,753.0,Pirate Ship Ambush,"Set: "
2016,164.0,Palace Pets Royal Castle<br>-Chevrolet Corvette Z06,Sets:<br>-
2015,346.0,Gorilla Grodd Goes Bananas,"Set: "
2011,25.0,Lighthouse<br>-Advent Calendar 2011 Star Wars,Sets:<br>-
2016,156.0,Airport Cargo Plane<br>-Fun in the park - City People Pack,Sets:<br>-
2005,506.0,Street Bike,"Set: "
2013,44.0,Horse Stable<br>-Monthly Mini Model Build September 2013 - Pirate<br>-Monthly Mini Model Build November 2013 - Tractor,Sets:<br>-
2014,96.0,Story Starter (Sample Set)<br>-Clone Turbo Tank,Sets:<br>-
2010,19.0,Tahu<br>-Gresh<br>-Natalie Breez<br>-William Furno<br>-Mark Surge<br>-Wizard<br>-Star Wars Magnet Set,Sets:<br>-
2002,636.0,Cahdok and Gahdok,"Set: "
2014,1136.0,AT-AT,"Set: "
1971,63.0,Mini-Wheel Model Maker No. 2<br>-Low-Loader with 4 Wheel Excavator,Sets:<br>-
2006,705.0,LEGO Creative Building Set<br>-Emergency Rescue Box,Sets:<br>-
2011,62.0,Play with Letters,"Set: "
1994,12.0,Flat Tiles,"Set: "
1984,39.0,Fire Truck,"Set: "
2010,57.0,Desert Attack,"Set: "
2007,386.0,Train Station,"Set: "
2008,351.0,Mission 3: Gold Hunt,"Set: "
1999,20.0,Air Patrol<br>-Stunt Flyer<br>-Space Hover<br>-Red Ninja's Dragon Glider<br>-Beauty Set<br>-Zo Weevil<br>-Zo Weevil<br>-Hubs and Tires,Sets:<br>-
1971,208.0,Factory With Conveyor Belt,"Set: "
2010,269.0,LEGO® City Truck,"Set: "
1993,10.0,Large Beams with Holes,"Set: "
2010,174.0,Plo Koon’s Jedi Starfighter,"Set: "
1991,31.0,Mobile Satellite Up-Link,"Set: "
2012,315.0,Kornmarken Factory 2012,"Set: "
2002,124.0,Brick Adventures Small Bucket,"Set: "
1998,101.0,Light Poles,"Set: "
1996,915.0,Freight and Crane Railway,"Set: "
2008,24.0,Police Trike<br>-Knight & Catapult<br>-Advent Calendar 2008 City<br>-Advent Calendar 2008 Castle,Sets:<br>-
2014,882.0,Santa&#039;s Workshop,"Set: "
1996,8.0,Snowmobile<br>-Transparent Windows and Bricks,Sets:<br>-
1995,196.0,Freestyle Building Set,"Set: "
1958,25.0,2 x 10 Bricks,"Set: "
1990,108.0,Dual FX Racers,"Set: "
2012,192.0,Speeda Demon,"Set: "
1975,81.0,Locomotive (Push)<br>-Tanker Waggon (Shell)<br>-Passenger Sleeping Car,Sets:<br>-
2011,158.0,"MBA Level One - Kit 3, Robot Designer<br>-Ice Dragon Attack<br>-Escape at Sea",Sets:<br>-
2013,417.0,Superman: Battle of Smallville,"Set: "
1991,451.0,Large Bucket,"Set: "
2014,21.0,Fire Spinner<br>-Advent Calendar 2014 City (Day 22) Christmas Tree,Sets:<br>-
2004,105.0,LEGO Truck,"Set: "
2012,620.0,Ultra Sonic Raider,"Set: "
2016,110.0,Adventure Camp Archery,"Set: "
2011,592.0,Lift Truck,"Set: "
2012,115.0,Kokoriko,"Set: "
1974,38.0,Fire Engine,"Set: "
2007,161.0,Blade Titan,"Set: "
2014,175.0,Bricktober Fire Station,"Set: "
2010,126.0,"House Building Set<br>-LEGO Store Grand Opening Exclusive Set, Nuremberg (NÃ¼rnberg), Germany",Sets:<br>-
1988,160.0,Med-Star Rescue Plane,"Set: "
2000,1430.0,Silver Champion / Formula 1 Racer,"Set: "
2008,230.0,Mission 2: Swamp Raid,"Set: "
2014,608.0,High-Speed Passenger Train,"Set: "
1999,30.0,Rocket Boat<br>-Trike Buggy<br>-Trike Buggy<br>-Mini-Dumper<br>-Satellite with Astronaut<br>-Surveillance Chopper,Sets:<br>-
1998,16.0,Kellogg's Promotional Set: Plane<br>-Kellogg's Promotional Set: Helicopter,Sets:<br>-
2016,49.0,Monthly Mini Model Build March 2016 - Bunny<br>-Acklay,Sets:<br>-
2014,373.0,Heartlake Horse Show<br>-Arctic Outpost,Sets:<br>-
1997,657.0,XL Freestyle Bucket,"Set: "
1968,16.0,Pre-School Large Set,"Set: "
1971,28.0,Excavator,"Set: "
1988,92.0,Alienator,"Set: "
2009,55.0,Gresh<br>-Stronius<br>-Ackar,Sets:<br>-
1971,38.0,Mobile Crane (Plate Base)<br>-Garage with Automatic Doors,Sets:<br>-
1969,21.0,21 Black 2x4 Bricks<br>-21 Blue 2x4 Bricks<br>-21 Red 2x4 Bricks<br>-21 Trans-Clear 2x4 Bricks<br>-21 White 2x4 Bricks<br>-21 Yellow 2x4 Bricks,Sets:<br>-
2014,488.0,Jedi Scout Fighter,"Set: "
1972,163.0,Gear/Wheel Set,"Set: "
1968,6.0,2 Signals with Automatic Stop / Go Attachment<br>-Magnetic Couplings,Sets:<br>-
2010,204.0,Orient Bazaar,"Set: "
1987,37.0,Knights' Arsenal,"Set: "
1998,6.0,Lego Dacta Community Vehicles,"Set: "
1988,62.0,Strategic Pursuer<br>-Strategic Pursuer,Sets:<br>-
1974,101.0,Gear Supplementary Set,"Set: "
2010,1082.0,Animals,"Set: "
1964,174.0,House with Garage,"Set: "
2003,51.0,Squad Car,"Set: "
1988,25.0,Beauty Salon<br>-Hanna's Garden<br>-Tractor,Sets:<br>-
1997,243.0,Mountain Rambler,"Set: "
1987,150.0,Connector peg,"Set: "
2001,193.0,Red Planet Protector,"Set: "
1998,28.0,Animal Playground<br>-Fantasy Bird<br>-Fright Force<br>-Speed Splash,Sets:<br>-
1996,58.0,Rocket Racer,"Set: "
1978,34.0,Police Car,"Set: "
1998,425.0,Emergency Response Center,"Set: "
1989,451.0,Basic Building Set in Bucket,"Set: "
1998,38.0,Freestyle Set<br>-Antennas and Control Sticks,Sets:<br>-
2005,709.0,Dino Air Tracker,"Set: "
1990,74.0,Solo Trainer,"Set: "
1971,6.0,6 International Flags (The Building Toy)<br>-6 International Flags (The Building Toy),Sets:<br>-
2003,69.0,Thunder Blazer,"Set: "
1966,15.0,Large Train Wagon,"Set: "
2005,525.0,XXL Mobile Crane,"Set: "
1979,216.0,Fork Lift,"Set: "
1958,160.0,1 x 1 Round Bricks,"Set: "
1971,307.0,Large House Set,"Set: "
2013,311.0,Star Slicer,"Set: "
1970,74.0,Ambulance,"Set: "
2005,165.0,Knights' Attack Barge,"Set: "
1991,69.0,Basic Building Set with Gift Item,"Set: "
1986,120.0,Shell Tanker Wagon,"Set: "
2006,403.0,Passenger Plane,"Set: "
2009,79.0,"Tow Truck<br>-Freeze Ray Frenzy<br>-Ambush in Cairo<br>-Clone Walker Battle Pack<br>-LEGO Store Grand Opening Exclusive Set, Riverchase Galleria, Birmingham, AL",Sets:<br>-
1996,39.0,Slick Racer,"Set: "
1980,19.0,12V Motor,"Set: "
2007,160.0,Shadow Crawler,"Set: "
1974,214.0,Tea Garden Cafe with Baker's Van,"Set: "
1989,10.0,"Fence<br>-Seats, Steering Wheels and Windscreens",Sets:<br>-
2016,87.0,Fire Starter Set,"Set: "
2013,437.0,FLL Trophy Large,"Set: "
1987,331.0,Basic Building Set with Storage Case,"Set: "
2004,395.0,NHL Championship Challenge,"Set: "
1996,22.0,Space Accessories,"Set: "
1997,63.0,Blast-Off Dragster<br>-Bungee Blaster,Sets:<br>-
1979,134.0,Town Hall with Leonard Lion & Friends,"Set: "
2014,88.0,ROCKA Stealth Machine<br>-Riverside Raid,Sets:<br>-
1977,38.0,Police Helicopter<br>-Police Helicopter,Sets:<br>-
2003,366.0,Coast Watch HQ,"Set: "
2011,526.0,Rise of the Sphinx,"Set: "
2014,155.0,Halloween Bat,"Set: "
1986,83.0,Mobile Police Truck,"Set: "
2006,44.0,Karzon,"Set: "
