year,pieces,descr,set
2014,4.0,"Advent Calendar 2014, Friends (Day 1) - Mia<br>-Advent Calendar 2014, Friends (Day 3) - Gift and Basket<br>-Advent Calendar 2014, Friends (Day 4) - Deer and Tree<br>-Advent Calendar 2014, Friends (Day 6) - Ewa, Christmas Outfit<br>-Pyjamas Emmet<br>-Martian Manhunter<br>-Radio DJ Robot<br>-LEGO® Star Wars™: The Yoda Chronicles<br>-LEGO® Star Wars™: The Visual Dictionary (Updated and Expanded)<br>-The Hobbit Ultimate Kit (79015, 79016, 79017, 79018)<br>-LEGO Star Wars: The Dark Side<br>-City Super Pack 4 in 1 (60050, 60052, 7499, 7895)<br>-Maggie Simpson<br>-Advent Calendar 2014 Star Wars (Day 11) - TIE Fighter Pilot<br>-Advent Calendar 2014 Star Wars (Day 13) - Luke Skywalker<br>-Advent Calendar 2014 Star Wars (Day 16) - Snowspeeder Pilot<br>-Advent Calendar 2014 Star Wars (Day 18) - General Rieekan<br>-Advent Calendar 2014 Star Wars (Day 2) - Super Battle Droid<br>-Advent Calendar 2014 Star Wars (Day 8) - Snowtrooper <br>-Dolphin Bag Charm",Sets:<br>-
2013,478.0,City Corner {re-issue from set 7641-1},"Set: "
1958,45.0,VW Garage,"Set: "
1980,256.0,LEGO People Supplementary Set,"Set: "
2015,383.0,Bulldozer<br>-Deep Sea Helicopter,Sets:<br>-
1987,52.0,Castle Guard,"Set: "
2016,658.0,Jestro’s Evil Mobile,"Set: "
2016,183.0,Birthday Party<br>-Pop Star TV Studio<br>-Ambulance Plane,Sets:<br>-
1979,22.0,Mini Loader<br>-Supplementary Set,Sets:<br>-
2010,70.0,Imperial Shuttle - Mini,"Set: "
1997,451.0,Deep Reef Refuge,"Set: "
1997,275.0,Chopper Force,"Set: "
2015,447.0,Training Jet Transporter,"Set: "
2014,297.0,Rapunzel’s Creativity Tower,"Set: "
2010,95.0,"Magma Monster<br>-LEGO Store Grand Opening Exclusive Set, Queens Center Mall, Elmhurst, NY",Sets:<br>-
1988,41.0,Town Mini-Figures,"Set: "
2009,1089.0,Emerald Night,"Set: "
1980,8.0,8 Straight Electric Rails Gray 12v<br>-8 Curved Electric Rails Gray 12v,Sets:<br>-
2010,152.0,Helicopter,"Set: "
1998,281.0,Classic Train<br>-Robber's Retreat,Sets:<br>-
1999,129.0,Spider's Secret,"Set: "
2003,34.0,"Yellow Truck (Polybag)<br>-Santa, Tree, and Present",Sets:<br>-
1966,20.0,"Cornerbricks (System)<br>-Angle, Valley and Corner Slopes, Red (The Building Toy)<br>-Angle, Valley and Corner Slopes, Blue (The Building Toy)<br>-Shell Station Brick and Sign, 6 Named Beams",Sets:<br>-
2006,969.0,Holiday Train,"Set: "
2001,121.0,Open Freight Wagon,"Set: "
1998,843.0,25th Anniversary Silver Tub,"Set: "
1996,47.0,Town Accessories,"Set: "
2001,37.0,Baby Ankylosaurus (Polybag)<br>-Baby Ankylosaurus<br>-Lewa - With mini CD-ROM,Sets:<br>-
1999,15.0,Plane<br>-Racer<br>-Boat<br>-Garden Set,Sets:<br>-
